#,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary,Evolution
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,Ivysaur
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,Venusaur
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,-
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False,-
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,Charmeleon
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,Charizard
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,-
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,-
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,-
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,Wartortle
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,Blastoise
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,-
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False,-
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,Metapod
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,Butterfree
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,-
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,Kakuna
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,Beedrill
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,-
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False,-
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,Pidgeotto
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,Pidgeot
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,-
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,-
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,Raticate
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,-
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,Fearow
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,-
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,Arbok
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,-
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,Raichu
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,-
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,Sandslash
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,-
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,Nidorina
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,Nidoqueen
31,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,Nidorino
32,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,Nidoking
33,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,Clefable
34,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,-
35,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,Ninetales
